DonorId,Potential Duplicates
26848.0,"[21840.0, 83844.0, 24093.0]"
14712.0,"[28314.0, 19589.0]"
19589.0,"[14712.0, 28314.0]"
28314.0,"[14712.0, 19589.0]"
76711.0,[72627.0]
87358.0,"[23638.0, 31527.0]"
23638.0,"[87358.0, 26767.0]"
31527.0,"[87358.0, 2071.0]"
87208.0,[53893.0]
53893.0,"[87208.0, 12788.0]"
87402.0,"[16049.0, 21772.0, 34324.0, 28333.0]"
21772.0,"[44577.0, 34305.0, 18308.0, 87402.0, 28333.0, 16049.0, 34324.0]"
34324.0,"[49862.0, 87402.0, 21772.0, 36334.0, 43638.0, 76314.0]"
16049.0,"[74114.0, 21795.0, 49862.0, 87402.0, 21772.0, 28333.0, 72242.0, 25076.0]"
28333.0,"[18308.0, 36439.0, 87402.0, 21772.0, 16049.0, 43638.0, 86838.0, 76314.0, 84155.0]"
85463.0,[27822.0]
27822.0,[85463.0]
25047.0,[19605.0]
19605.0,[25047.0]
37527.0,"[87320.0, 50714.0]"
87320.0,"[17160.0, 37527.0]"
50714.0,[37527.0]
35404.0,[50133.0]
50133.0,"[16864.0, 13561.0, 35404.0]"
74657.0,"[22434.0, 9188.0, 922.0]"
22434.0,"[74657.0, 9188.0]"
9188.0,"[22136.0, 74657.0, 22434.0, 9143.0]"
922.0,"[74657.0, 84389.0]"
74351.0,"[38786.0, 23189.0, 85614.0]"
85614.0,"[38786.0, 23189.0, 74351.0]"
38786.0,"[8747.0, 85614.0, 74351.0]"
23189.0,"[8747.0, 85614.0, 74351.0]"
87204.0,"[72634.0, 9549.0]"
9549.0,[87204.0]
72634.0,[87204.0]
21960.0,"[4465.0, 68842.0, 388.0, 78029.0]"
78029.0,"[36644.0, 21960.0, 2931.0, 67964.0, 48413.0]"
388.0,"[21960.0, 84447.0, 4760.0, 67895.0]"
68842.0,"[21960.0, 4465.0, 5109.0]"
4465.0,"[21960.0, 68842.0]"
17501.0,"[17494.0, 11331.0, 11430.0, 30663.0]"
11430.0,"[17501.0, 17494.0, 30663.0]"
30663.0,"[14683.0, 17501.0, 11430.0]"
17494.0,"[11331.0, 11430.0, 685.0, 14683.0, 17501.0]"
11331.0,"[14683.0, 17501.0, 17494.0]"
27102.0,"[5357.0, 73974.0]"
73974.0,"[5357.0, 27102.0]"
5357.0,"[5445.0, 21173.0, 27102.0, 73974.0]"
87131.0,[84188.0]
84188.0,[87131.0]
87186.0,[23392.0]
23392.0,"[87186.0, 52282.0]"
87013.0,[78090.0]
78090.0,[87013.0]
13205.0,"[18568.0, 2170.0]"
2170.0,"[18568.0, 13205.0]"
18568.0,"[2170.0, 13205.0]"
74569.0,"[11733.0, 74146.0, 13365.0, 54682.0]"
50659.0,"[76618.0, 83231.0]"
76618.0,"[50659.0, 83231.0]"
83231.0,"[76618.0, 50659.0, 69934.0]"
3747.0,"[23859.0, 1101.0]"
23859.0,[3747.0]
1101.0,[3747.0]
47789.0,"[12720.0, 68106.0]"
12720.0,"[68106.0, 47789.0]"
68106.0,"[12720.0, 47789.0]"
488.0,"[14161.0, 548.0]"
548.0,"[488.0, 15477.0, 78203.0, 4397.0]"
14161.0,[488.0]
10465.0,"[13368.0, 38075.0, 14734.0]"
14734.0,"[13368.0, 10465.0, 38075.0]"
38075.0,"[13368.0, 10465.0, 14734.0]"
13368.0,"[10465.0, 38075.0, 14734.0]"
68016.0,"[74617.0, 78206.0, 4814.0]"
87170.0,[9478.0]
9478.0,"[87170.0, 25142.0]"
11083.0,"[47827.0, 47486.0]"
47827.0,"[11083.0, 47486.0]"
47486.0,"[11083.0, 47827.0]"
86350.0,[45503.0]
45503.0,[86350.0]
36454.0,"[18080.0, 25292.0]"
18080.0,"[14816.0, 46770.0, 36454.0]"
25292.0,"[14816.0, 36454.0]"
50149.0,[22789.0]
22789.0,"[35387.0, 50149.0]"
87398.0,"[74416.0, 72646.0]"
74416.0,[87398.0]
72646.0,"[54446.0, 87398.0]"
84194.0,[47908.0]
47908.0,[84194.0]
74174.0,"[47123.0, 23187.0, 78195.0]"
23187.0,"[26846.0, 74174.0]"
78195.0,"[47123.0, 26846.0, 74174.0]"
47123.0,"[78195.0, 26846.0, 74174.0]"
87056.0,[36403.0]
36403.0,[87056.0]
87097.0,[56029.0]
56029.0,"[87097.0, 47839.0]"
85723.0,"[69548.0, 76463.0]"
76463.0,[85723.0]
69548.0,"[85723.0, 81291.0]"
81340.0,"[69796.0, 72676.0]"
72676.0,"[69796.0, 81340.0]"
69796.0,"[72676.0, 81340.0]"
23336.0,"[24091.0, 751.0]"
24091.0,"[23336.0, 20111.0]"
751.0,"[23336.0, 47183.0, 20111.0]"
81130.0,"[78185.0, 18388.0]"
78185.0,"[81130.0, 10188.0, 18388.0]"
18388.0,"[78185.0, 81130.0, 10188.0]"
84963.0,[6494.0]
6494.0,"[8977.0, 84963.0]"
47920.0,[48388.0]
48388.0,[47920.0]
86463.0,[82839.0]
82839.0,[86463.0]
87003.0,"[232.0, 83242.0]"
83242.0,"[17337.0, 87003.0, 16197.0]"
232.0,"[8792.0, 17337.0, 87003.0]"
87134.0,[6346.0]
6346.0,[87134.0]
74384.0,"[85523.0, 81771.0]"
85523.0,"[74384.0, 81771.0]"
81771.0,"[74384.0, 85523.0]"
74935.0,"[1769.0, 74459.0]"
1769.0,"[28778.0, 74459.0, 4229.0, 74935.0]"
74459.0,"[1769.0, 74935.0]"
52418.0,[13632.0]
13632.0,"[52418.0, 54580.0]"
74839.0,[16399.0]
16399.0,[74839.0]
34382.0,"[2227.0, 22342.0, 4199.0]"
4199.0,"[5048.0, 34382.0]"
2227.0,"[5048.0, 22342.0, 8282.0, 34382.0]"
22342.0,"[5048.0, 8282.0, 2227.0, 34382.0]"
87336.0,"[84003.0, 2789.0, 16407.0, 67897.0, 81694.0]"
67897.0,"[3425.0, 87336.0, 1467.0, 81756.0, 81725.0]"
16407.0,"[87336.0, 18641.0]"
81694.0,"[87336.0, 84010.0]"
84003.0,"[2789.0, 87336.0, 81714.0, 81654.0, 81754.0, 1467.0, 16991.0]"
87098.0,[22660.0]
22660.0,[87098.0]
72387.0,[45935.0]
45935.0,[72387.0]
2931.0,"[6906.0, 78029.0]"
6906.0,[2931.0]
68881.0,[50747.0]
50747.0,"[68881.0, 42957.0]"
86856.0,[86298.0]
86298.0,[86856.0]
47050.0,[78205.0]
78205.0,[47050.0]
71993.0,"[2633.0, 1819.0, 19444.0]"
2633.0,"[71993.0, 1819.0, 19444.0]"
1819.0,"[2633.0, 71993.0, 19444.0]"
19444.0,"[2633.0, 71993.0, 1819.0]"
48210.0,[74122.0]
74122.0,[48210.0]
87053.0,[69607.0]
69607.0,[87053.0]
