RegulatedEntityName,DonationsValue,DonationEvents,DonationMean,RegEntity_Group
Mr Andrew Milligan,1650.0,1,1650.0,Single Donation Entity
Mr Andrew Mitchell MP,626163.24,86,7280.967906976744,Small Entity
Mr Andrew Palmer Kerr MSP,9880.0,4,2470.0,Very Small Entity
Mr Andrew Percy MP,29239.0,11,2658.090909090909,Very Small Entity
Mr Andrew Perry MP,4000.0,1,4000.0,Single Donation Entity
Mr Andrew Rosindell MP,182416.24,63,2895.495873015873,Small Entity
Mr Andrew Selous MP,8000.0,1,8000.0,Single Donation Entity
Mr Andrew Stephenson MP,34307.21,8,4288.40125,Very Small Entity
Mr Andrew Tyrie MP,21800.0,3,7266.666666666667,Very Small Entity
Mr Andy McDonald MP,106485.5,8,13310.6875,Very Small Entity
Mr Andy Reed MP,3757.08,2,1878.54,Very Small Entity
Mr Andy Slaughter MP,18569.52,5,3713.904,Very Small Entity
Mr Andy Street,483773.33,75,6450.311066666667,Small Entity
Mr Angus MacDonald,28780.0,2,14390.0,Very Small Entity
Mr Angus MacNeil MP,21796.48,5,4359.296,Very Small Entity
Mr Anthony Cox,12500.0,2,6250.0,Very Small Entity
Mr Anthony Rowlands,1250.0,1,1250.0,Single Donation Entity
Mr Anthony Wright,6167.0,2,3083.5,Very Small Entity
Mr Archie Norman,10345.2,2,5172.6,Very Small Entity
Mr Archy Kirkwood,5245.2,1,5245.2,Single Donation Entity
Mr Austin Mitchell MP,4000.0,1,4000.0,Single Donation Entity
Mr Bambos Charalambous,4429.58,2,2214.79,Very Small Entity
Mr Barry Gardiner MP,536896.48,50,10737.9296,Very Small Entity
Mr Barry Sheerman MP,15107.849999999999,4,3776.9624999999996,Very Small Entity
Mr Bashir Khanbhai,3933.9,1,3933.9,Single Donation Entity
Mr Ben Chapman MP,9139.0,3,3046.3333333333335,Very Small Entity
Mr Ben Gummer MP,7289.19,2,3644.595,Very Small Entity
Mr Ben Houchen,23300.0,6,3883.3333333333335,Very Small Entity
Mr Ben Howlett,3042.5,1,3042.5,Single Donation Entity
Mr Ben Wallace MP,3500.0,1,3500.0,Single Donation Entity
Mr Benjamin Charles Tudor Jeffreys,2000.0,1,2000.0,Single Donation Entity
Mr Bernard Jenkin MP,49185.94,3,16395.313333333335,Very Small Entity
Mr Bill Bowman,2200.0,1,2200.0,Single Donation Entity
Mr Bill Butler MSP,1500.0,1,1500.0,Single Donation Entity
Mr Bill Esterson MP,38900.0,7,5557.142857142857,Very Small Entity
Mr Bill Miller,3933.9,1,3933.9,Single Donation Entity
Mr Bill Newton Dunn MEP,7867.8,2,3933.9,Very Small Entity
Mr Bill Olner MP,4234.0,2,2117.0,Very Small Entity
Mr Bill Rammell,10345.2,2,5172.6,Very Small Entity
Mr Bill Tynan,5245.2,1,5245.2,Single Donation Entity
Mr Bill Wiggin MP,12000.0,3,4000.0,Very Small Entity
Mr Bim Afolami,2000.0,1,2000.0,Single Donation Entity
Mr Bob Blackman MP,88130.83,24,3672.1179166666666,Very Small Entity
Mr Bob Blizzard MP,17445.2,6,2907.5333333333333,Very Small Entity
Mr Bob Seely,2950.0,1,2950.0,Single Donation Entity
Mr Boris Johnson MP,1514047.13,141,10737.922907801418,Medium Entity
Mr Brandon Lewis MP,268390.38,46,5834.57347826087,Very Small Entity
Mr Brian Binley MP,7324.92,3,2441.64,Very Small Entity
Mr Brian Donohoe MP,34866.130000000005,9,3874.014444444445,Very Small Entity
Mr Brian Simpson,25758.9,12,2146.5750000000003,Very Small Entity
Mr Brian White MP,5245.2,1,5245.2,Single Donation Entity
Mr Brooks Newmark MP,9070.33,3,3023.443333333333,Very Small Entity
Mr Carwyn Jones AM,6367.53,4,1591.8825,Very Small Entity
Mr Charles Hendry MP,9845.2,4,2461.3,Very Small Entity
Mr Charlie Elphicke,5700.0,3,1900.0,Very Small Entity
Mr Chris Bryant MP,12759.0,6,2126.5,Very Small Entity
Mr Chris Hazzard,3030.0,1,3030.0,Single Donation Entity
Mr Chris Heaton-Harris MP,13697.55,4,3424.3875,Very Small Entity
Mr Chris Huhne MP,130190.56,34,3829.1341176470587,Very Small Entity
Mr Chris Kelly MP,16586.66,6,2764.443333333333,Very Small Entity
Mr Chris Mole MP,1425.0,1,1425.0,Single Donation Entity
Mr Chris Pond,5245.2,1,5245.2,Single Donation Entity
