,RegulatedEntityName,DonationsValue,DonationEvents,DonationMean,RegEntity_Group
438,Frank Field,66909.7,6,11151.616666666667,Unknown
439,Frank Roy,11770.2,3,3923.4,Unknown
440,Franklin Roe,2500.0,1,2500.0,Single Donation Entity
441,Fraser Kemp,6653.4,2,3326.7,Unknown
442,Freedom And Responsibility,28286.11,10,2828.611,Unknown
443,Friends Of Earth Trust,60000.0,2,30000.0,Unknown
444,Friends Of Northumberland County (Fonc),5000.0,1,5000.0,Single Donation Entity
445,Fulham Group,25000.0,1,25000.0,Single Donation Entity
446,Gareth Johnson,3920.0,2,1960.0,Unknown
447,Gareth R Thomas,15301.0,3,5100.333333333333,Unknown
448,Gareth Thomas,8500.0,3,2833.3333333333335,Unknown
449,Gareth Wallace,1650.0,1,1650.0,Single Donation Entity
450,Gary Fleming,1887.89,1,1887.89,Single Donation Entity
